Text1,Text2,score
Mars,scientist,0.13
news,report,0.33
canyon,landscape,0.43
image,surface,0.18
discovery,space,0.1
water,seepage,0.31
sign,recess,0.16
Wednesday,news,0.18
mile,kilometer,0.4
computer,news,0.05
territory,surface,0.03
atmosphere,landscape,0.13
president,medal,0.1
war,troops,0.59
record,number,0.21
skin,eye,0.2
Japanese,American,0.23
theater,history,0.13
volunteer,motto,0.21
prejudice,recognition,0.19
decoration,valor,0.07
century,year,0.1
century,nation,0.26
delay,racism,0.07
delay,news,0.1
minister,party,0.21
peace,plan,0.2
minority,peace,0.09
attempt,peace,0.23
government,crisis,0.35
deployment,departure,0.12
deployment,withdrawal,0.12
energy,crisis,0.15
announcement,news,0.45
announcement,effort,0.24
stroke,hospital,0.03
disability,death,0.31
victim,emergency,0.6
treatment,recovery,0.32
journal,association,0.02
doctor,personnel,0.1
doctor,liability,0.03
liability,insurance,0.63
school,center,0.09
reason,hypertension,0.07
reason,criterion,0.11
hundred,percent,0.04
Harvard,Yale,0.73
hospital,infrastructure,0.01
death,row,0.08
death,inmate,0.08
lawyer,evidence,0.32
life,death,0.55
life,term,0.22
word,similarity,0.15
board,recommendation,0.15
governor,interview,0.01
OPEC,country,0.15
peace,atmosphere,0.04
peace,insurance,0.01
territory,kilometer,0.04
travel,activity,0.12
competition,price,0.56
consumer,confidence,0.13
consumer,energy,0.03
problem,airport,0.04
car,flight,0.04
credit,card,0.27
credit,information,0.15
hotel,reservation,0.17
grocery,money,0.27
registration,arrangement,0.14
arrangement,accommodation,0.16
month,hotel,0.17
type,kind,0.33
arrival,hotel,0.43
bed,closet,0.54
closet,clothes,0.43
situation,conclusion,0.41
situation,isolation,0.37
impartiality,interest,0.09
direction,combination,0.12
street,place,0.19
street,avenue,0.82
street,block,0.48
street,children,0.13
listing,proximity,-0.05
listing,category,0.55
cell,phone,0
production,hike,-0.02
benchmark,index,0.05
media,trading,0.03
media,gain,0.21
dividend,payment,0.24
dividend,calculation,0.09
calculation,computation,0.37
currency,market,0.18
OPEC,oil,0.73
oil,stock,0
announcement,production,0.02
announcement,warning,0.3
profit,warning,0.02
profit,loss,0.29
dollar,yen,0.43
dollar,buck,0.03
dollar,profit,0.29
dollar,loss,0.11
computer,software,0.87
network,hardware,0.03
phone,equipment,0.1
equipment,maker,0.07
luxury,car,0.23
five,month,0.21
report,gain,0.1
investor,earning,0.26
liquid,water,0.36
baseball,season,0.36
game,victory,0.1
game,team,0.81
marathon,sprint,0.4
game,series,0.2
game,defeat,0.08
seven,series,0.23
seafood,sea,0.22
seafood,food,0.44
seafood,lobster,0.43
lobster,food,0.14
lobster,wine,0.08
food,preparation,0.19
video,archive,N/A
start,year,0.27
start,match,0.4
game,round,0.08
boxing,round,0.15
championship,tournament,0.5
fighting,defeating,0.21
line,insurance,0.05
day,summer,0.42
summer,drought,0.37
summer,nature,0.12
day,dawn,0.45
nature,environment,0.24
environment,ecology,0.65
nature,man,0.26
man,woman,0.37
man,governor,0.12
murder,manslaughter,0.65
soap,opera,0.06
opera,performance,0.19
life,lesson,0.14
focus,life,0.15
production,crew,0.02
television,film,0.26
lover,quarrel,0.28
viewer,serial,0.07
possibility,girl,0.09
population,development,0.19
morality,importance,0.31
morality,marriage,0.32
Mexico,Brazil,0.22
gender,equality,0.2
change,attitude,0.29
family,planning,0.18
opera,industry,0.06
sugar,approach,0.01
practice,institution,0.18
ministry,culture,0.04
problem,challenge,0.3
size,prominence,0.07
country,citizen,0.29
planet,people,0.07
development,issue,0.12
experience,music,0.09
music,project,0.03
glass,metal,0.27
aluminum,metal,0.74
chance,credibility,0.12
exhibit,memorabilia,0.07
concert,virtuoso,0.35
rock,jazz,0.11
museum,theater,0.09
observation,architecture,0.04
space,world,0.13
preservation,world,0.12
admission,ticket,0.1
shower,thunderstorm,0.22
shower,flood,0.1
weather,forecast,0.81
disaster,area,0.22
governor,office,0.29
architecture,century,0.4
